nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
Others,2020,Nov,603.0,38908.0,2020.0,11.0,2020-11-01,32.932823593664665
Bangladesh,2020,Nov,18.0,4917.0,2020.0,11.0,2020-11-01,0.9830693610049154
France,2020,Nov,33.0,4540.0,2020.0,11.0,2020-11-01,1.8022938285090113
Myanmar,2020,Nov,6.0,20911.0,2020.0,11.0,2020-11-01,0.3276897870016384
Malaysia,2020,Nov,9.0,3460.0,2020.0,11.0,2020-11-01,0.4915346805024577
Sri Lanka,2020,Nov,21.0,13328.0,2020.0,11.0,2020-11-01,1.1469142545057347
South Korea,2020,Nov,0.0,6944.0,2020.0,11.0,2020-11-01,0.0
Germany,2020,Nov,27.0,5896.0,2020.0,11.0,2020-11-01,1.4746040415073731
Australia,2020,Nov,34.0,6793.0,2020.0,11.0,2020-11-01,1.8569087930092845
Japan,2020,Nov,37.0,5599.0,2020.0,11.0,2020-11-01,2.020753686510104
Netherlands,2020,Nov,12.0,2563.0,2020.0,11.0,2020-11-01,0.6553795740032768
China,2020,Nov,209.0,19257.0,2020.0,11.0,2020-11-01,11.414527580557072
USA,2020,Nov,449.0,17767.0,2020.0,11.0,2020-11-01,24.52211906062261
Thailand,2020,Nov,1.0,20778.0,2020.0,11.0,2020-11-01,0.05461496450027307
Canada,2020,Nov,58.0,3102.0,2020.0,11.0,2020-11-01,3.1676679410158384
Italy,2020,Nov,8.0,1599.0,2020.0,11.0,2020-11-01,0.43691971600218454
UK,2020,Nov,295.0,11762.0,2020.0,11.0,2020-11-01,16.111414527580557
Spain,2020,Nov,11.0,1625.0,2020.0,11.0,2020-11-01,0.6007646095030038
Spain,2020,Dec,17.0,1625.0,2020.0,12.0,2020-12-01,0.5975395430579965
Australia,2020,Dec,49.0,6793.0,2020.0,12.0,2020-12-01,1.7223198594024607
Bangladesh,2020,Dec,11.0,4917.0,2020.0,12.0,2020-12-01,0.3866432337434095
France,2020,Dec,68.0,4540.0,2020.0,12.0,2020-12-01,2.390158172231986
Italy,2020,Dec,15.0,1599.0,2020.0,12.0,2020-12-01,0.5272407732864675
Canada,2020,Dec,86.0,3102.0,2020.0,12.0,2020-12-01,3.022847100175747
UK,2020,Dec,325.0,11762.0,2020.0,12.0,2020-12-01,11.423550087873462
South Korea,2020,Dec,114.0,6944.0,2020.0,12.0,2020-12-01,4.007029876977153
USA,2020,Dec,619.0,17767.0,2020.0,12.0,2020-12-01,21.757469244288224
Germany,2020,Dec,40.0,5896.0,2020.0,12.0,2020-12-01,1.4059753954305798
Malaysia,2020,Dec,8.0,3460.0,2020.0,12.0,2020-12-01,0.281195079086116
Japan,2020,Dec,41.0,5599.0,2020.0,12.0,2020-12-01,1.4411247803163445
Sri Lanka,2020,Dec,39.0,13328.0,2020.0,12.0,2020-12-01,1.3708260105448156
Others,2020,Dec,862.0,38908.0,2020.0,12.0,2020-12-01,30.298769771529
Thailand,2020,Dec,36.0,20778.0,2020.0,12.0,2020-12-01,1.265377855887522
Netherlands,2020,Dec,32.0,2563.0,2020.0,12.0,2020-12-01,1.124780316344464
Myanmar,2020,Dec,18.0,20911.0,2020.0,12.0,2020-12-01,0.632688927943761
China,2020,Dec,465.0,19257.0,2020.0,12.0,2020-12-01,16.34446397188049
Myanmar,2021,Jan,21.0,344.0,2021.0,1.0,2021-01-01,0.43343653250773995
Others,2021,Jan,1165.0,26013.0,2021.0,1.0,2021-01-01,24.045407636738904
UK,2021,Jan,136.0,8680.0,2021.0,1.0,2021-01-01,2.807017543859649
France,2021,Jan,107.0,2829.0,2021.0,1.0,2021-01-01,2.2084623323013415
Malaysia,2021,Jan,19.0,331.0,2021.0,1.0,2021-01-01,0.39215686274509803
Canada,2021,Jan,96.0,2438.0,2021.0,1.0,2021-01-01,1.9814241486068114
Bangladesh,2021,Jan,27.0,5044.0,2021.0,1.0,2021-01-01,0.5572755417956656
China,2021,Jan,1876.0,6198.0,2021.0,1.0,2021-01-01,38.720330237358105
Spain,2021,Jan,57.0,1151.0,2021.0,1.0,2021-01-01,1.1764705882352942
Sri Lanka,2021,Jan,31.0,463.0,2021.0,1.0,2021-01-01,0.6398348813209495
Japan,2021,Jan,42.0,784.0,2021.0,1.0,2021-01-01,0.8668730650154799
South Korea,2021,Jan,104.0,1263.0,2021.0,1.0,2021-01-01,2.146542827657379
Thailand,2021,Jan,36.0,576.0,2021.0,1.0,2021-01-01,0.7430340557275541
USA,2021,Jan,877.0,22854.0,2021.0,1.0,2021-01-01,18.10113519091847
Germany,2021,Jan,97.0,2929.0,2021.0,1.0,2021-01-01,2.002063983488132
Australia,2021,Jan,66.0,2477.0,2021.0,1.0,2021-01-01,1.3622291021671828
Netherlands,2021,Jan,59.0,1303.0,2021.0,1.0,2021-01-01,1.217750257997936
Italy,2021,Jan,29.0,613.0,2021.0,1.0,2021-01-01,0.5985552115583075
Germany,2021,Feb,126.0,2929.0,2021.0,2.0,2021-02-01,2.800622360524561
South Korea,2021,Feb,75.0,1263.0,2021.0,2.0,2021-02-01,1.6670371193598579
UK,2021,Feb,523.0,8680.0,2021.0,2.0,2021-02-01,11.624805512336074
Japan,2021,Feb,28.0,784.0,2021.0,2.0,2021-02-01,0.6223605245610135
China,2021,Feb,708.0,6198.0,2021.0,2.0,2021-02-01,15.736830406757058
Netherlands,2021,Feb,74.0,1303.0,2021.0,2.0,2021-02-01,1.644809957768393
Sri Lanka,2021,Feb,19.0,463.0,2021.0,2.0,2021-02-01,0.4223160702378307
Spain,2021,Feb,30.0,1151.0,2021.0,2.0,2021-02-01,0.6668148477439432
Australia,2021,Feb,37.0,2477.0,2021.0,2.0,2021-02-01,0.8224049788841965
Thailand,2021,Feb,30.0,576.0,2021.0,2.0,2021-02-01,0.6668148477439432
USA,2021,Feb,1115.0,22854.0,2021.0,2.0,2021-02-01,24.78328517448322
Others,2021,Feb,1281.0,26013.0,2021.0,2.0,2021-02-01,28.472993998666368
France,2021,Feb,90.0,2829.0,2021.0,2.0,2021-02-01,2.000444543231829
Malaysia,2021,Feb,21.0,331.0,2021.0,2.0,2021-02-01,0.46677039342076015
Myanmar,2021,Feb,38.0,344.0,2021.0,2.0,2021-02-01,0.8446321404756614
Bangladesh,2021,Feb,156.0,5044.0,2021.0,2.0,2021-02-01,3.467437208268504
Canada,2021,Feb,116.0,2438.0,2021.0,2.0,2021-02-01,2.578350744609913
Italy,2021,Feb,32.0,613.0,2021.0,2.0,2021-02-01,0.7112691709268726
Germany,2021,Mar,208.0,2929.0,2021.0,3.0,2021-03-01,2.736122073138648
South Korea,2021,Mar,115.0,1263.0,2021.0,3.0,2021-03-01,1.5127598000526177
UK,2021,Mar,664.0,8680.0,2021.0,3.0,2021-03-01,8.734543541173375
